Id,Labels
1,3
2,37
3,8
4,4
5,9
6,17
7,14
8,4
9,37
10,12
11,15
12,8
13,35
14,13
15,4
16,14
17,19
18,35
19,13
20,43
21,13
22,13
23,1
24,9
25,43
26,13
27,50
28,28
29,13
30,4
31,13
32,14
33,2
34,24
35,29
36,14
37,17
38,2
39,4
40,37
41,13
42,1
43,1
44,2
45,13
46,14
47,13
48,2
49,2
50,2
51,3
52,13
53,1
54,1
55,1
56,4
57,2
58,1
59,2
60,13
61,17
62,4
63,17
64,19
65,25
66,13
67,13
68,3
69,16
70,23
71,29
72,16
73,29
74,14
75,13
76,1
77,19
78,48
79,37
80,23
81,12
82,17
83,7
84,29
85,13
86,17
87,2
88,16
89,37
90,3
91,4
92,3
93,3
94,8
95,21
96,3
97,16
98,34
99,13
100,1
101,37
102,2
103,2
104,2
105,2
106,2
107,17
108,13
109,11
110,15
111,19
112,2
113,40
114,19
115,37
116,4
117,17
118,2
119,4
120,13
121,13
122,13
123,2
124,14
125,1
126,13
127,12
128,29
129,18
130,37
131,13
132,16
133,29
134,8
135,17
136,32
137,2
138,13
139,2
140,1
141,4
142,19
143,42
144,2
145,2
146,21
147,3
148,37
149,1
150,13
151,3
152,1
153,2
154,2
155,23
156,19
157,23
158,2
159,1
160,13
161,32
162,13
163,4
164,2
165,2
166,19
167,13
168,29
169,1
170,1
171,13
172,19
173,21
174,7
175,2
176,37
177,38
178,32
179,3
180,29
181,1
182,16
183,7
184,1
185,2
186,2
187,22
188,1
189,19
190,23
191,35
192,13
193,12
194,1
195,1
196,22
197,2
198,37
199,37
200,2
201,2
202,19
203,20
204,16
205,55
206,13
207,17
208,32
209,1
210,13
211,13
212,50
213,2
214,3
215,2
216,3
217,2
218,19
219,1
220,13
221,12
222,12
223,13
224,2
225,1
226,16
227,17
228,17
229,17
230,17
231,17
232,32
233,8
234,32
235,9
236,29
237,9
238,9
239,2
240,16
241,1
242,3
243,17
244,37
245,17
246,17
247,17
248,2
249,2
250,2
251,42
252,2
253,17
254,1
255,2
256,35
257,1
258,2
259,18
260,29
261,23
262,13
263,1
264,4
265,14
266,35
267,23
268,37
269,2
270,2
271,37
272,2
273,2
274,5
275,2
276,1
277,37
278,2
279,2
280,14
281,37
282,42
283,32
284,17
285,17
286,17
287,17
288,17
289,2
290,2
291,1
292,2
293,13
294,2
295,35
296,32
297,2
298,23
299,19
300,2
301,19
302,23
303,46
304,37
305,37
306,42
307,2
308,1
309,37
310,3
311,43
312,14
313,2
314,2
315,2
316,9
317,2
318,23
319,37
320,37
321,2
322,26
323,2
324,19
325,2
326,19
327,2
328,2
329,2
330,2
331,1
332,19
333,2
334,2
335,1
336,1
337,2
338,2
339,2
340,1
341,2
342,2
343,16
344,4
345,1
346,13
347,14
348,13
349,13
350,44
351,2
352,3
353,4
354,14
355,4
356,13
357,1
358,43
359,1
360,4
361,20
362,3
363,37
364,3
365,2
366,2
367,19
368,4
369,7
370,23
371,19
372,15
373,3
374,19
375,13
376,4
377,29
378,62
379,29
380,13
381,37
382,12
383,35
384,50
385,13
386,3
387,13
388,41
389,13
390,13
391,13
392,13
393,34
394,2
395,2
396,1
397,43
398,13
399,13
400,2
401,19
402,23
403,4
404,1
405,1
406,37
407,1
408,37
409,1
410,35
411,2
412,37
413,44
414,13
415,13
416,16
417,4
418,2
419,37
420,2
421,13
422,1
423,43
424,14
425,2
426,4
427,13
428,1
429,23
430,13
431,13
432,13
433,2
434,21
435,21
436,8
437,13
438,16
439,13
440,13
441,4
442,51
443,13
444,27
445,42
446,37
447,37
448,37
449,4
450,13
451,12
452,2
453,37
454,2
455,37
456,12
457,4
458,1
459,4
460,8
461,37
462,13
463,13
464,13
465,59
466,2
467,23
468,15
469,15
470,42
471,1
472,2
473,37
474,42
475,17
476,2
477,37
478,1
479,40
480,13
481,35
482,1
483,29
484,35
485,3
486,2
487,2
488,2
489,13
490,37
491,2
492,12
493,1
494,3
495,2
496,13
497,16
498,16
499,1
500,8
501,1
502,1
503,21
504,1
505,2
506,12
507,2
508,3
509,2
510,65
511,2
512,1
513,13
514,38
515,17
516,26
517,17
518,3
519,13
520,42
521,8
522,14
523,2
524,2
525,13
526,2
527,17
528,37
529,17
530,17
531,13
532,48
533,17
534,13
535,17
536,17
537,17
538,17
539,35
540,17
541,17
542,23
543,1
544,2
545,1
546,1
547,16
548,1
549,70
550,37
551,19
552,3
553,23
554,12
555,19
556,1
557,37
558,37
559,13
560,1
561,62
562,4
563,14
564,21
565,3
566,37
567,5
568,8
569,17
570,17
571,1
572,17
573,2
574,43
575,3
576,8
577,37
578,2
579,14
580,32
581,2
582,2
583,9
584,25
585,2
586,8
587,2
588,17
589,23
590,17
591,17
592,2
593,3
594,40
595,4
596,4
597,3
598,3
599,17
600,1
601,1
602,1
603,2
604,2
605,2
606,2
607,16
608,31
609,2
610,16
611,16
612,1
613,16
614,1
615,1
616,2
617,23
618,14
619,3
620,32
621,2
622,37
623,12
624,2
625,2
626,2
627,2
628,37
629,21
630,13
631,2
632,19
633,2
634,4
635,3
636,2
637,1
638,13
639,2
640,1
641,8
642,2
643,22
644,17
645,2
646,1
647,13
648,13
649,13
650,1
651,13
652,7
653,65
654,13
655,2
656,2
657,2
658,2
659,14
660,1
661,15
662,25
663,3
664,13
665,3
666,2
667,2
668,13
669,28
670,13
671,13
672,15
673,15
674,37
675,2
676,13
677,13
678,13
679,13
680,13
681,7
682,1
683,16
684,2
685,2
686,13
687,2
688,13
689,19
690,22
691,43
692,2
693,2
694,37
695,13
696,2
697,13
698,13
699,2
700,35
701,2
702,1
703,13
704,62
705,2
706,2
707,13
708,13
709,2
710,37
711,37
712,16
713,1
714,37
715,13
716,1
717,13
718,3
719,2
720,8
721,62
722,13
723,59
724,2
725,3
726,22
727,35
728,2
729,1
730,35
731,2
732,21
733,2
734,16
735,13
736,13
737,2
738,1
739,13
740,22
741,17
742,13
743,1
744,13
745,2
746,19
747,1
748,15
749,1
750,13
751,65
752,3
753,29
754,29
755,1
756,23
757,13
758,13
759,16
760,21
761,12
762,14
763,12
764,21
765,16
766,16
767,13
768,13
769,2
770,1
771,13
772,2
773,35
774,2
775,32
776,2
777,1
778,37
779,16
780,16
781,17
782,13
783,37
784,13
785,43
786,2
787,13
788,1
789,65
790,43
791,46
792,37
793,19
794,34
795,35
796,2
797,2
798,2
799,37
800,37
801,13
802,13
803,8
804,19
805,19
806,1
807,1
808,13
809,32
810,1
811,3
812,19
813,19
814,35
815,35
816,37
817,62
818,22
819,2
820,1
821,2
822,13
823,23
824,3
825,37
826,37
827,43
828,2
829,42
830,2
831,2
832,2
833,19
834,9
835,9
836,15
837,32
838,3
839,3
840,50
841,2
842,3
843,13
844,42
845,23
846,15
847,19
848,14
849,2
850,2
851,37
852,2
853,2
854,2
855,37
856,22
857,43
858,2
859,1
860,2
861,2
862,2
863,37
864,2
865,2
866,2
867,29
868,19
869,19
870,4
871,14
872,3
873,48
874,14
875,2
876,13
877,2
878,13
879,2
880,13
881,13
882,13
883,13
884,15
885,29
886,13
887,65
888,2
889,43
890,37
891,13
892,41
893,4
894,13
895,21
896,4
897,43
898,21
899,3
900,29
901,13
902,14
903,3
904,1
905,13
906,37
907,13
908,13
909,13
910,13
911,13
912,13
913,2
914,34
915,29
916,13
917,65
918,13
919,59
920,35
921,7
922,7
923,2
924,13
925,3
926,2
927,4
928,59
929,1
930,14
931,15
932,13
933,2
934,4
935,13
936,29
937,4
938,13
939,13
940,41
941,7
942,37
943,17
944,16
945,29
946,3
947,4
948,29
949,13
950,34
951,13
952,15
953,13
954,14
955,44
956,4
957,21
958,37
959,13
960,13
961,37
962,23
963,2
964,1
965,29
966,13
967,14
968,1
969,29
970,13
971,1
972,16
973,1
974,29
975,2
976,65
977,13
978,13
979,7
980,1
981,13
982,16
983,16
984,1
985,2
