Id,Labels
1,4
2,37
3,13
4,13
5,9
6,17
7,14
8,13
9,38
10,12
11,15
12,13
13,29
14,13
15,14
16,13
17,19
18,23
19,13
20,43
21,13
22,13
23,4
24,59
25,43
26,14
27,14
28,13
29,13
30,4
31,13
32,14
33,13
34,17
35,29
36,3
37,2
38,9
39,4
40,37
41,13
42,12
43,1
44,17
45,13
46,13
47,13
48,1
49,2
50,2
51,3
52,13
53,13
54,1
55,13
56,4
57,55
58,43
59,2
60,13
61,17
62,13
63,17
64,19
65,4
66,13
67,13
68,1
69,2
70,35
71,23
72,16
73,29
74,3
75,2
76,12
77,19
78,37
79,1
80,29
81,1
82,17
83,37
84,29
85,13
86,17
87,2
88,16
89,37
90,38
91,2
92,3
93,3
94,13
95,8
96,14
97,16
98,21
99,13
100,1
101,37
102,2
103,13
104,1
105,16
106,12
107,17
108,3
109,37
110,2
111,1
112,2
113,40
114,19
115,37
116,13
117,45
118,13
119,13
120,13
121,12
122,13
123,2
124,3
125,1
126,13
127,12
128,35
129,1
130,37
131,19
132,16
133,29
134,28
135,17
136,16
137,16
138,13
139,2
140,4
141,4
142,19
143,2
144,2
145,2
146,26
147,2
148,17
149,37
150,13
151,3
152,13
153,2
154,37
155,23
156,19
157,23
158,1
159,13
160,1
161,44
162,3
163,3
164,19
165,2
166,14
167,13
168,13
169,12
170,13
171,2
172,19
173,38
174,7
175,17
176,14
177,13
178,37
179,3
180,23
181,1
182,16
183,13
184,12
185,1
186,2
187,22
188,1
189,19
190,23
191,35
192,13
193,12
194,1
195,1
196,13
197,17
198,37
199,37
200,37
201,37
202,19
203,2
204,1
205,23
206,14
207,17
208,26
209,2
210,1
211,13
212,14
213,2
214,3
215,8
216,13
217,13
218,17
219,43
220,13
221,12
222,1
223,2
224,19
225,16
226,16
227,17
228,17
229,17
230,17
231,17
232,35
233,8
234,1
235,9
236,35
237,9
238,9
239,3
240,23
241,2
242,3
243,17
244,3
245,17
246,17
247,17
248,1
249,2
250,2
251,2
252,2
253,17
254,1
255,2
256,29
257,1
258,17
259,1
260,35
261,23
262,14
263,1
264,13
265,3
266,35
267,13
268,37
269,2
270,2
271,17
272,2
273,2
274,1
275,37
276,1
277,37
278,16
279,2
280,14
281,37
282,2
283,2
284,17
285,17
286,17
287,17
288,17
289,3
290,2
291,2
292,2
293,21
294,2
295,1
296,32
297,2
298,23
299,19
300,21
301,19
302,23
303,2
304,23
305,16
306,42
307,2
308,37
309,37
310,4
311,43
312,3
313,9
314,19
315,2
316,9
317,2
318,23
319,1
320,37
321,2
